Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,Failure,"['4 June 2010,', '18:45']",18:45
2,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,Failure,"['4 June 2010,', '18:45']",18:45
3,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,"Not attempted
","['4 June 2010,', '18:45']",18:45
4,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,No attempt,"['4 June 2010,', '18:45']",18:45
5,,CCAFS,,525 kg,LEO,NASA,,,,,,,,,,Dragon,"Success
",F9 v1.0B0004.1,"Not attempted
","['4 June 2010,', '18:45']",15:43
6,,CCAFS,,"4,700 kg",LEO,MDA,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Uncontrolled,"['8 December 2010,', '15:43']",07:44
7,,CCAFS,,"4,877 kg",Polar orbit,SES,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.0B0006.1,Not attempted,"['22 May 2012,', '07:44']",00:35
8,,CCAFS,,500 kg,GTO,Thaicom,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0B0007.1,Not attempted,"['8 October 2012,', '00:35']",15:10
9,,VAFB,,"3,170 kg",GTO,NASA,,,,,,,,,,CASSIOPE,"Success
",F9 v1.1B1003,Controlled,"['1 March 2013,', '15:10']",16:00
10,,CCAFS,,"3,325 kg",LEO,Orbcomm,,,,,,,,,,SES-8,Success,F9 v1.1,Controlled,"['29 September 2013,', '16:00']",22:41
11,,CCAFS,,"2,296 kg",LEO,AsiaSat,,,,,,,,,,Thaicom 6,Success,F9 v1.1,Not attempted,"['3 December 2013,', '22:41']",22:06
12,,Cape Canaveral,,"1,316 kg",GTO,AsiaSat,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,"Not attempted
","['6 January 2014,', '22:06']",19:25
13,,Cape Canaveral,,"4,535 kg",GTO,NASA,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Uncontrolled,"['18 April 2014,', '19:25']",15:15
14,,Cape Canaveral,,"4,428 kg",LEO,NASA,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,Failure ,"['14 July 2014,', '15:15']",08:00
15,,Cape Canaveral,,"2,216 kg",LEO,USAF,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,Controlled,"['5 August 2014,', '08:00']",05:00
